"date_id","Symbol","A000070","A003200","A016800","A005720","A015350","A033660","A007160","A000320","A004700","A014280","A003070","A000860","A005810","A000430","A092230","A002620","A007700","A013520","A002390","A004970","A025000","A035510","A067830","A000540","A006220","A015360","A004250","A001940","A021820","A136490"
368,"2016-06-29","148,000","125,500","34,600","7,820","33,650","6,400","60,100","18,550","46,100","8,800","14,250","35,100","40,550","4,745","59,900","71,665","14,000","3,370","36,200","15,150","49,850","81,700","5,320","3,400","7,303","39,300","7,330","12,206","18,600","12,468"
369,"2016-06-30","146,500","124,500","34,800","7,840","33,800","6,410","59,800","19,050","45,700","9,300","13,800","35,050","40,950","4,670","59,700","69,242","14,200","3,420","36,200","15,250","50,600","81,800","5,380","3,430","7,293","40,250","7,360","12,286","18,750","12,674"
370,"2016-07-01","145,500","125,500","34,900","7,940","33,950","6,480","63,200","19,150","45,800","9,500","14,700","34,900","41,150","4,690","59,700","67,026","14,150","3,420","36,050","15,600","50,000","82,500","5,380","3,435","7,303","41,950","7,350","12,346","19,050","12,514"
371,"2016-07-04","144,000","127,500","34,850","7,990","33,800","6,450","63,100","18,650","45,300","9,790","14,500","35,150","40,900","4,680","59,400","66,957","13,700","3,410","36,500","15,500","50,200","83,400","5,360","3,390","7,313","40,350","7,340","12,366","19,200","12,514"
372,"2016-07-05","141,500","127,000","34,850","7,990","34,200","6,480","62,600","18,400","44,000","9,820","14,450","34,850","40,900","4,630","59,700","67,026","13,550","3,440","36,300","15,350","50,200","82,700","5,350","3,390","7,213","39,850","7,370","12,326","19,350","12,514"
373,"2016-07-06","137,500","126,500","34,750","7,900","34,150","6,460","61,900","18,100","42,850","9,960","14,350","34,600","40,850","4,700","59,600","63,703","13,600","3,370","35,850","15,100","50,000","81,200","5,350","3,375","7,184","39,900","7,370","12,246","19,100","12,468"
374,"2016-07-07","142,000","127,000","34,750","7,930","34,100","6,470","62,800","18,100","43,600","9,970","14,500","34,700","40,650","4,740","59,500","65,364","13,700","3,440","36,850","15,100","50,000","80,500","5,320","3,375","7,134","39,800","7,450","12,406","18,950","12,400"
375,"2016-07-08","140,500","124,500","34,550","7,870","34,100","6,450","61,800","17,900","43,400","10,100","14,600","34,600","40,650","4,800","59,400","64,187","13,550","3,415","36,800","15,050","49,350","79,600","5,320","3,325","6,936","39,900","7,390","12,246","18,700","12,446"
376,"2016-07-11","138,000","125,500","34,350","7,870","34,200","6,530","61,100","18,100","44,450","10,320","14,650","34,200","40,600","4,775","59,200","59,548","13,400","3,400","36,250","15,150","49,650","79,800","5,280","3,365","6,985","39,900","7,300","12,166","19,450","12,491"
377,"2016-07-12","135,500","125,000","34,350","7,870","34,000","6,500","63,800","18,050","43,650","10,240","14,800","34,250","41,550","4,775","59,400","59,894","13,350","3,465","35,800","15,200","49,750","81,000","5,320","3,390","6,856","39,900","7,300","12,085","19,350","12,491"
378,"2016-07-13","133,500","123,000","34,300","7,870","33,950","6,590","64,300","18,000","43,950","10,480","14,850","34,600","42,200","4,760","59,300","57,332","13,200","3,470","35,700","15,150","50,800","80,300","5,320","3,390","6,856","39,850","7,320","12,386","19,000","12,583"
379,"2016-07-14","134,000","122,000","34,300","7,770","33,800","6,530","64,700","18,000","42,800","10,360","14,750","34,700","41,650","4,830","59,100","52,278","13,050","3,540","35,100","15,300","50,400","78,800","5,310","3,390","6,777","39,850","7,330","12,266","18,850","12,331"
380,"2016-07-15","132,000","123,000","34,350","7,920","33,700","6,570","66,500","18,300","41,950","10,360","14,650","34,700","42,000","4,870","59,100","53,801","13,450","3,495","34,400","15,350","50,400","78,100","5,290","3,380","6,787","40,700","7,230","12,326","18,400","12,240"
381,"2016-07-18","132,500","125,500","34,350","7,900","33,700","6,580","65,600","18,300","41,800","10,200","14,600","34,900","41,800","4,840","59,200","52,139","13,550","3,520","33,900","15,350","50,100","77,700","5,290","3,370","6,777","40,600","7,230","12,386","18,700","12,400"
382,"2016-07-19","130,000","126,000","34,000","7,790","33,800","6,550","63,900","18,100","41,550","10,360","14,650","36,150","41,500","4,790","59,200","48,123","13,300","3,495","32,900","15,250","50,600","77,800","5,280","3,370","6,826","40,850","7,230","12,466","18,500","12,377"
383,"2016-07-20","131,000","129,000","34,150","7,720","33,800","6,560","65,600","18,300","41,200","10,300","14,800","36,250","41,900","4,820","59,400","50,339","13,200","3,540","33,400","15,200","51,000","75,700","5,290","3,390","6,777","40,600","7,250","12,426","18,500","12,400"
384,"2016-07-21","133,000","135,500","33,850","7,780","33,900","6,580","65,500","18,100","41,000","10,260","14,600","36,000","41,700","4,900","59,600","46,669","13,200","3,570","32,800","15,100","51,200","76,900","5,250","3,360","6,737","40,250","7,260","12,366","18,500","12,491"
385,"2016-07-22","133,000","133,500","34,000","7,720","33,900","6,600","66,900","17,800","42,750","10,300","14,950","35,500","41,600","4,895","59,800","47,569","13,850","3,485","32,450","15,100","50,700","77,300","5,210","3,390","6,747","39,500","7,230","12,266","18,400","12,491"
386,"2016-07-25","133,000","131,000","33,900","7,790","33,750","6,590","68,800","17,750","42,100","10,240","15,000","35,900","41,450","4,850","59,600","47,985","14,300","3,565","32,250","15,150","50,700","78,300","5,140","3,370","7,104","38,850","7,270","12,045","18,450","12,605"
387,"2016-07-26","132,000","135,500","33,900","7,820","34,050","6,600","70,200","17,900","43,250","10,320","15,700","37,250","40,750","4,850","59,900","48,885","14,250","3,655","32,600","15,150","50,800","78,900","5,100","3,395","7,481","39,350","7,250","12,226","18,650","12,651"
388,"2016-07-27","128,000","131,500","33,800","7,840","33,850","6,580","69,300","18,250","45,000","10,200","15,600","37,250","40,600","4,820","59,500","48,885","14,250","3,720","32,300","15,400","50,800","80,000","5,130","3,385","7,799","38,850","7,190","12,286","18,500","12,674"
389,"2016-07-28","124,500","133,000","33,850","7,980","33,800","6,600","69,300","18,300","45,000","10,340","15,400","37,250","42,250","4,810","59,600","49,716","14,350","3,705","32,400","15,350","50,600","81,100","5,170","3,385","7,590","39,300","7,190","12,366","18,550","12,788"
390,"2016-07-29","120,500","128,000","33,800","7,990","34,000","6,630","68,100","18,250","44,450","10,380","15,400","37,300","42,950","4,805","59,600","49,508","14,650","3,685","32,300","15,300","50,600","81,900","5,190","3,370","7,531","39,050","7,130","12,186","18,450","12,605"
391,"2016-08-01","118,000","129,500","33,950","7,890","34,250","6,630","67,800","18,150","42,700","10,200","15,450","37,300","43,450","4,805","59,500","46,323","14,550","3,665","31,500","14,900","50,700","82,900","5,240","3,360","7,759","39,450","7,050","12,286","18,700","12,423"
392,"2016-08-02","121,500","131,000","34,100","7,820","34,000","6,690","65,600","17,950","43,500","10,220","16,800","37,500","43,900","4,815","59,400","46,669","14,350","3,590","31,950","14,650","50,700","82,600","5,190","3,365","7,858","39,850","7,040","12,326","18,750","12,514"
393,"2016-08-03","123,000","130,500","34,000","7,890","34,100","6,700","66,400","17,750","43,100","10,220","16,500","37,300","43,900","4,800","59,100","49,093","14,200","3,540","32,350","14,700","51,000","82,800","5,210","3,390","7,938","39,400","7,020","12,206","18,650","12,423"
394,"2016-08-04","125,000","130,500","34,050","8,020","34,250","6,740","67,300","18,050","44,900","10,660","16,500","37,350","43,750","4,770","59,300","47,292","14,400","3,565","32,400","14,800","51,000","82,800","5,270","3,370","7,918","39,650","7,050","12,286","18,750","12,331"
395,"2016-08-05","122,500","128,500","33,950","8,120","34,350","6,810","67,000","18,050","46,300","11,600","15,900","37,450","43,600","4,800","59,100","47,777","14,200","3,510","31,300","14,800","51,100","84,300","5,320","3,380","7,918","39,500","7,110","12,486","19,000","12,286"
396,"2016-08-08","126,500","129,500","34,050","8,130","34,450","6,810","67,300","18,000","46,350","11,700","16,200","37,700","43,600","4,780","59,400","47,292","14,450","3,500","31,150","14,900","51,000","84,600","5,360","3,370","7,858","39,100","7,160","12,486","18,900","12,263"
397,"2016-08-09","126,000","130,500","33,950","8,120","34,250","6,830","67,800","17,900","46,450","11,660","16,000","37,650","43,750","4,845","60,000","47,777","14,150","3,525","31,250","14,900","54,000","85,500","5,400","3,380","7,878","39,450","7,020","12,466","18,950","12,309"
398,"2016-08-10","128,000","129,500","34,050","8,150","34,500","6,790","68,700","18,000","47,750","11,660","16,450","37,750","43,550","4,870","61,200","49,093","14,150","3,535","31,900","14,900","58,100","85,000","5,380","3,380","7,848","40,400","7,000","12,687","18,750","12,400"
399,"2016-08-11","128,000","126,000","33,750","8,160","34,500","6,710","70,400","18,100","47,800","11,600","16,200","37,700","43,950","4,840","62,200","50,131","14,400","3,545","31,850","14,900","58,900","82,500","5,400","3,400","7,759","40,300","6,930","12,607","18,650","12,697"
400,"2016-08-12","127,500","126,000","33,900","8,180","35,000","6,750","72,100","18,500","47,350","11,600","15,750","37,850","44,400","5,360","63,100","49,647","14,250","3,795","32,100","15,000","58,700","82,800","5,420","3,395","7,739","40,000","6,900","12,867","18,850","13,153"
401,"2016-08-16","126,000","126,500","33,700","8,340","34,750","6,750","72,000","18,500","46,150","12,140","15,800","37,800","44,550","5,380","62,200","51,101","15,500","3,800","31,750","15,250","58,600","85,600","5,440","3,400","7,779","39,950","6,950","13,528","18,950","12,491"
402,"2016-08-17","126,000","128,000","33,700","8,340","34,850","7,020","67,200","18,200","44,850","11,980","16,200","38,000","43,550","5,430","61,900","55,601","15,450","3,750","31,450","15,100","57,300","83,600","5,400","3,400","7,650","40,000","6,930","13,789","18,850","12,697"
403,"2016-08-18","126,000","127,000","33,700","8,240","34,750","6,870","67,300","18,300","46,000","11,580","16,350","38,250","43,500","5,450","63,500","57,055","14,950","3,840","31,000","15,000","57,500","85,000","5,380","3,400","7,610","40,300","6,930","13,769","19,000","12,834"
404,"2016-08-19","120,500","125,000","34,000","8,170","34,750","6,910","66,800","18,000","44,550","11,660","16,800","39,500","43,650","5,330","63,000","58,233","14,900","3,785","30,600","14,800","57,000","85,300","5,290","3,400","7,769","39,800","6,900","13,589","19,000","12,811"
405,"2016-08-22","119,500","125,500","33,500","8,090","35,950","6,900","65,400","18,100","43,500","11,320","16,350","38,500","44,400","5,280","60,900","58,925","14,450","3,655","30,700","14,800","55,900","83,000","5,260","3,400","7,700","38,850","6,770","13,368","18,750","12,697"
406,"2016-08-23","120,500","124,500","33,450","8,120","35,800","6,730","64,500","18,100","42,950","10,980","16,150","38,450","44,400","5,150","62,100","61,764","14,550","3,700","30,550","14,850","57,400","81,700","5,280","3,405","7,829","39,350","6,650","13,388","18,700","12,605"
407,"2016-08-24","119,500","125,000","33,550","8,110","36,100","6,850","65,800","18,200","42,600","10,820","15,600","38,000","44,250","5,190","62,800","62,318","14,700","3,755","30,550","14,950","58,500","82,300","5,310","3,395","7,908","39,000","6,700","13,689","18,700","12,377"
408,"2016-08-25","120,500","126,500","33,500","8,090","36,200","6,950","64,900","17,950","42,850","10,700","15,000","38,050","44,150","5,350","63,800","63,841","14,700","3,710","30,400","14,900","60,700","80,300","5,290","3,390","7,908","39,100","6,630","13,709","18,700","12,331"
409,"2016-08-26","120,000","128,000","33,400","8,110","36,150","7,030","64,200","17,850","43,250","10,560","15,100","38,300","43,900","5,340","64,600","64,949","14,500","3,670","30,150","14,800","59,600","81,200","5,480","3,380","7,918","39,500","6,620","13,689","18,500","12,583"
410,"2016-08-29","119,000","127,000","33,500","8,170","35,800","7,040","62,000","17,350","41,200","10,140","15,100","37,800","44,700","5,200","63,600","64,880","14,200","3,675","29,150","14,600","60,400","78,800","5,440","3,345","8,821","38,750","6,610","13,448","18,350","12,514"
411,"2016-08-30","118,000","127,000","33,500","8,190","36,000","7,140","63,100","17,200","41,250","10,100","14,750","38,000","44,700","5,300","63,500","65,780","14,050","3,645","29,100","14,600","61,800","78,600","5,370","3,350","8,642","38,600","6,650","13,689","18,450","12,331"
412,"2016-08-31","120,000","125,000","33,450","8,250","35,750","7,230","62,100","17,300","40,850","9,750","14,900","38,000","45,250","5,330","64,100","65,988","13,850","3,630","28,450","14,750","61,000","76,900","5,340","3,335","8,186","39,450","6,520","13,528","18,850","12,560"
413,"2016-09-01","117,500","125,000","33,400","8,130","35,250","7,190","62,500","17,450","40,850","10,000","14,750","37,800","44,600","5,460","64,200","65,988","14,050","3,715","28,400","14,750","60,700","75,700","5,270","3,325","8,225","38,700","6,550","13,629","18,650","12,742"
414,"2016-09-02","118,000","125,000","33,500","8,100","34,800","7,170","63,400","17,600","40,750","10,200","14,550","37,900","44,800","5,420","64,300","66,195","14,150","3,690","29,000","14,800","60,500","77,200","5,300","3,340","8,027","38,400","6,560","13,629","18,700","12,674"
415,"2016-09-05","120,000","127,500","33,450","8,140","34,800","7,110","64,200","17,700","40,800","10,000","14,650","38,000","44,900","5,430","65,200","66,126","14,100","3,630","28,850","14,750","61,800","77,900","5,410","3,345","8,136","38,300","6,610","13,488","19,550","12,788"
416,"2016-09-06","120,000","125,500","33,450","8,230","34,750","7,100","63,200","18,200","40,800","10,140","14,850","37,800","45,150","5,430","65,400","66,126","14,000","3,625","29,100","14,700","60,700","77,800","5,440","3,360","8,136","38,350","6,620","13,368","19,250","12,742"
417,"2016-09-07","118,000","125,000","33,600","8,150","34,650","7,000","61,800","17,800","40,550","9,920","14,900","38,100","45,400","5,430","65,400","65,364","13,950","3,620","28,300","14,650","61,200","76,500","5,400","3,410","8,126","38,300","6,600","13,508","19,000","12,537"
